millis,date,NDVI_min,NDVI_max,NDVI_mean,NDVI_median,NDVI_stdDev,NDCI_min,NDCI_max,NDCI_mean,NDCI_median,NDCI_stdDev,B1_min,B1_max,B1_mean,B1_median,B1_stdDev,B2_min,B2_max,B2_mean,B2_median,B2_stdDev,B3_min,B3_max,B3_mean,B3_median,B3_stdDev,B4_min,B4_max,B4_mean,B4_median,B4_stdDev,B5_min,B5_max,B5_mean,B5_median,B5_stdDev,B6_min,B6_max,B6_mean,B6_median,B6_stdDev,B7_min,B7_max,B7_mean,B7_median,B7_stdDev,B8_min,B8_max,B8_mean,B8_median,B8_stdDev,B8A_min,B8A_max,B8A_mean,B8A_median,B8A_stdDev,B9_min,B9_max,B9_mean,B9_median,B9_stdDev,B11_min,B11_max,B11_mean,B11_median,B11_stdDev,B12_min,B12_max,B12_mean,B12_median,B12_stdDev
1547127050000,2019-01-10 13:30:50,0.11770274534553486,0.13175622747924173,0.12457671253932381,0.12513948668898447,0.003086052102260354,-0.029467321496033247,-0.013318737456668442,-0.02165256627924417,-0.021906010110466285,0.004058793508616468,0.1343,0.162,0.15132463049747638,0.1549,0.007607293551494059,0.24780000000000002,0.2605,0.2553687004325883,0.25630000000000003,0.0031263099295205364,0.2715,0.28600000000000003,0.2776213410237922,0.2775,0.003490955880439366,0.27240000000000003,0.28240000000000004,0.2773840663302089,0.27790000000000004,0.0026646680834419905,0.2569,0.2713,0.26563851838500346,0.2661,0.003820151655828251,0.2861,0.3019,0.29397893835616434,0.2938,0.0040411594113383695,0.3089,0.3291,0.32098511175198247,0.3211,0.004987156975067271,0.3508,0.3612,0.35633037130497464,0.3564,0.003203015459794232,0.3151,0.3383,0.3284046683489543,0.3284,0.006248162995337039,0.47650000000000003,0.523,0.5024871304974764,0.5081,0.01221050432276918,0.18630000000000002,0.1935,0.1905787400865175,0.1908,0.001569299491123505,0.1691,0.1807,0.1759346791636625,0.17650000000000002,0.0030680083739528744
1547386845000,2019-01-13 13:40:45,-0.0250458155161881,0.08913728862138146,0.03213745718441096,0.03130434782608697,0.026886717249491498,-0.0015888147442008275,0.05187239944521503,0.02476784706611755,0.024817518248175203,0.00919651843200563,0.1136,0.1308,0.12269073540014419,0.12300000000000001,0.004228893795021563,0.1328,0.1628,0.14894603460706554,0.1501,0.00759120206897693,0.1588,0.1844,0.1713513608507569,0.1705,0.006591943666402025,0.1499,0.17900000000000002,0.16303085796683472,0.16110000000000002,0.006507009319236006,0.15710000000000002,0.18960000000000002,0.17131790735400132,0.1708,0.007520471847645189,0.13390000000000002,0.17850000000000002,0.16019209625090108,0.161,0.00923639771391435,0.14250000000000002,0.184,0.16845277577505396,0.1693,0.009725940356403976,0.1564,0.194,0.1740033795962509,0.17270000000000002,0.009788778033168662,0.13720000000000002,0.1812,0.16450670511896173,0.1656,0.009393172183743746,0.3264,0.41700000000000004,0.3706263698630135,0.37210000000000004,0.024032766150651474,0.1443,0.1829,0.1666426279740446,0.16590000000000002,0.0089229137431884,0.1277,0.1615,0.14707691961067046,0.1469,0.009103104847091295
1547818842000,2019-01-18 13:40:42,-0.038022487340142484,0.024647224835371594,-0.009323857397420176,-0.010358419653497092,0.01646973506806098,0.004236540158870279,0.030809487634000148,0.019230954022963063,0.01994517440211741,0.005874546774578051,0.7040000000000001,0.7893,0.7498764419610664,0.7567,0.023667887861328785,0.5918,0.6748000000000001,0.6359221070656088,0.6387,0.022419255273433504,0.5503,0.636,0.5942175739005044,0.5975,0.02017552371105216,0.5184,0.6117,0.5676959264599855,0.5654,0.022773303830298602,0.5335,0.6305000000000001,0.5899863374188893,0.5869,0.024579433847015098,0.5227,0.6166,0.582394412400865,0.5819,0.02354912879145407,0.5411,0.6179,0.5890456560922854,0.5932000000000001,0.020533300168662484,0.5253,0.5839,0.557011265320836,0.5586,0.01570910862365443,0.5506,0.6175,0.590935670511896,0.5957,0.017930753904580713,0.9695,1.1235,1.0525379956741168,1.0619,0.04291085384317992,0.3205,0.3693,0.3495961607786588,0.34990000000000004,0.013049983261974233,0.2957,0.3411,0.32082231434751246,0.3221,0.012051841145650598
1547991051000,2019-01-20 13:30:51,-0.03217651114686275,-0.006179903868162068,-0.019212269347018442,-0.020595968448729227,0.006481084320876987,0.029759042581610284,0.04136253041362529,0.036305912240944274,0.03673210892970234,0.0023685397644142374,1.0155,1.1032,1.064216213049747,1.0677,0.024399588069439756,0.9782000000000001,1.0866,1.023998954578226,1.0230000000000001,0.02732507165253363,0.909,1.0318,0.9628257930785862,0.9624,0.02741192365876714,0.8658,0.9860000000000001,0.9197817591925017,0.9186000000000001,0.027115941306894972,0.937,1.0616,0.9890593727469351,0.9878,0.027909925212775053,0.8694000000000001,0.9830000000000001,0.9135668258832005,0.9126000000000001,0.026460626253165077,0.8444,0.9430000000000001,0.8818940969718811,0.8785000000000001,0.025660941630865196,0.8280000000000001,0.9534,0.8851899783705836,0.884,0.02889330389906463,0.8118000000000001,0.9124,0.8505003965392929,0.8493,0.024745495815160803,1.5762,1.5763,1.576271512256669,1.5763,4.670243035748211e-05,0.516,0.6012000000000001,0.5543439437635181,0.5548000000000001,0.018525090197805367,0.34400000000000003,0.4208,0.38506699711607767,0.3846,0.015480756240426555
1548423047000,2019-01-25 13:30:47,-0.5919540229885057,-0.43686502177068215,-0.5248906062001177,-0.5282685512367491,0.036665391449488514,-0.047322540473225455,-0.016586409844836766,-0.03337302094270218,-0.03292894280762562,0.005689163274300822,0.032600000000000004,0.0434,0.03707236842105262,0.0359,0.0032542672142958293,0.0397,0.058800000000000005,0.04553393114635903,0.0443,0.0045237295967247085,0.0684,0.0855,0.07359388968997835,0.0721,0.00441690824490121,0.08220000000000001,0.099,0.08735134282624368,0.08600000000000001,0.004538317588118057,0.0765,0.0932,0.08172020547945202,0.08070000000000001,0.004513660882956034,0.028,0.042100000000000005,0.03344762076423935,0.0322,0.004131147243928805,0.027700000000000002,0.0432,0.034030704758471496,0.033600000000000005,0.004232608096791042,0.0213,0.0388,0.027407065609228533,0.0267,0.004220518620201753,0.0135,0.031,0.020439248377793793,0.0195,0.004145853288503564,0.0053,0.0274,0.011446313987022349,0.012100000000000001,0.003375938550527655,0.0056,0.018500000000000003,0.010493988824801726,0.01,0.0034426566146402823,0.0058000000000000005,0.016800000000000002,0.010002956020187453,0.009000000000000001,0.0031521691389600685
1548682843000,2019-01-28 13:40:43,-0.49281314168377827,-0.3152454780361757,-0.3926276393980358,-0.39640344018764656,0.04724210555655848,-0.05815748841996914,-0.008324661810613893,-0.033512057308915225,-0.03459637561779242,0.011822278175115507,0.0337,0.0489,0.04095250540735399,0.0419,0.004884533783342187,0.0367,0.0711,0.056010228911319376,0.056,0.00891407376550919,0.062,0.0956,0.07942761355443398,0.0794,0.008692206917517717,0.0683,0.1028,0.08721136445565965,0.08700000000000001,0.008998877303841416,0.0648,0.09680000000000001,0.0815920331651045,0.083,0.008688676509676042,0.029400000000000003,0.057100000000000005,0.042531335616438334,0.0431,0.007988799357761433,0.0309,0.056900000000000006,0.0431282263878875,0.0422,0.0073596370165454495,0.0236,0.053000000000000005,0.038564194304253764,0.0378,0.007941819489967377,0.0213,0.044700000000000004,0.032223206560922854,0.0322,0.006762414886861088,0.0066,0.0221,0.013775576784426816,0.012,0.004316280507968558,0.0118,0.0362,0.024420034246575337,0.0245,0.006315120945082541,0.0098,0.0318,0.02062269286229271,0.0212,0.0054143419592819295
1548855051000,2019-01-30 13:30:51,-0.552,-0.4927374301675978,-0.525529054630715,-0.5239179954441913,0.012902386262313185,-0.06477093206951026,-0.021406727828746155,-0.04071175912734638,-0.04086353122590593,0.007479825469963948,0.0244,0.027600000000000003,0.02638560742609947,0.0267,0.0009748037479102883,0.040100000000000004,0.0442,0.041806596971881764,0.041800000000000004,0.0008792081751812494,0.0601,0.0636,0.06179084354722421,0.061700000000000005,0.0007956835079959823,0.066,0.0703,0.06715329848594083,0.0671,0.0007573260391628862,0.059000000000000004,0.0644,0.06190398341744767,0.0618,0.0010492222581234632,0.0212,0.0269,0.02426332011535687,0.024300000000000002,0.0013012932637048425,0.025,0.030500000000000003,0.027108156092285493,0.0269,0.0013784684917157463,0.0196,0.023,0.020890807498197533,0.020900000000000002,0.0007787168114591533,0.0154,0.0198,0.01696965573179523,0.016900000000000002,0.0011359823919841585,0.035,0.043000000000000003,0.040211247296322986,0.040600000000000004,0.0015925117738968932,0.0128,0.015600000000000001,0.013926802451333807,0.0137,0.0007025100769123284,0.012100000000000001,0.0159,0.013347071016582548,0.0132,0.0009190289212877604
1549114846000,2019-02-02 13:40:46,-0.05800970873786408,0.0012413948764247713,-0.03257846062270493,-0.0340767576134948,0.013542036582362471,-0.0029266096352994044,0.018566698202459778,0.008289961582511279,0.007451896340785211,0.004986680065016669,0.8517,0.9787,0.9200768655371305,0.9213,0.030199142133277204,0.773,0.9998,0.8792388157894735,0.8932,0.05944965371245315,0.7668,0.9784,0.8813999549387163,0.8968,0.05578238257724422,0.7628,0.9658,0.8841256308579666,0.8924000000000001,0.050396353022405666,0.7822,0.9959,0.8987748558038926,0.9058,0.049035611246118764,0.7563000000000001,0.9659000000000001,0.8681879776496031,0.8728,0.0454780183501967,0.7717,0.9877,0.8804980533525594,0.8851,0.0428170353995717,0.7292000000000001,0.9432,0.8288439527757747,0.8430000000000001,0.05712161167551414,0.7708,0.9879,0.8722258561643829,0.8737,0.04260800677935542,0.7393000000000001,0.8836,0.8088555515501075,0.8077000000000001,0.03394174100610879,0.5398000000000001,0.6934,0.6147066690699349,0.6182000000000001,0.036330574069852566,0.3406,0.5078,0.41688891492429675,0.4238,0.038040888984012096
1549287048000,2019-02-04 13:30:48,-0.5093228655544652,-0.038167938931297746,-0.37729606170020347,-0.43205574912891986,0.13636814976762046,-0.07954545454545457,0.0235226620768789,-0.03904056559431032,-0.04545454545454545,0.02396396499118666,0.067,0.09040000000000001,0.0771767754145638,0.0766,0.0062960707600305124,0.0616,0.0999,0.07089252883922129,0.06670000000000001,0.01021016587744288,0.0728,0.11380000000000001,0.08674766582552267,0.0825,0.00973817948429619,0.06760000000000001,0.1086,0.08399478190338856,0.0796,0.009692615009081959,0.0629,0.10790000000000001,0.07800561463590482,0.0742,0.011827175987391563,0.0287,0.09430000000000001,0.04518184030281181,0.0397,0.01724274174419902,0.028200000000000003,0.0969,0.04694303352559479,0.04,0.019481803961305427,0.025,0.0945,0.04053564347512615,0.0317,0.0190426277314442,0.0196,0.0915,0.04020176640230712,0.0327,0.02139353556937616,0.029900000000000003,0.0912,0.0564526315789473,0.0531,0.016510275769801724,0.016300000000000002,0.08320000000000001,0.03501189617880316,0.028200000000000003,0.01900701904453152,0.012700000000000001,0.0679,0.030202694664744036,0.0238,0.01581854607327895
1549546843000,2019-02-07 13:40:43,-0.6541095890410957,-0.5899159663865545,-0.6192257737183009,-0.6161290322580645,0.014297202056991087,-0.0954356846473029,-0.035476718403547686,-0.05884706989407407,-0.057268722466960305,0.011608577831426704,0.0224,0.0241,0.02295309120403748,0.023,0.0005222596117272922,0.0286,0.031400000000000004,0.03023693222782984,0.0302,0.0005865820009828995,0.0505,0.0539,0.0519151496034607,0.0519,0.0007899883750107891,0.0465,0.053000000000000005,0.04866439257390048,0.048400000000000006,0.0015355149372274141,0.041800000000000004,0.0453,0.04324126712328765,0.0429,0.0008230961334482587,0.0125,0.0155,0.013720638067772161,0.013800000000000002,0.0006457770987148121,0.0134,0.0167,0.015060021629415997,0.015000000000000001,0.0007010355860134031,0.010100000000000001,0.0128,0.011449143835616432,0.011600000000000001,0.0006505786278540402,0.0063,0.01,0.008029145638067768,0.0081,0.0009056723176396489,0.0001,0.0037,0.0023882660418168685,0.0035,0.0013938229252450885,0.0039000000000000003,0.0059,0.004862013338139869,0.0049,0.0006078121311183999,0.0035,0.0064,0.004452487382840662,0.0044,0.0006689329570445891
1549719051000,2019-02-09 13:30:51,-0.4368070953436806,-0.39932508436445446,-0.4187705168907171,-0.41855203619909503,0.0074034406025177595,-0.04541701073492985,-0.004198152812762388,-0.030456224092517133,-0.029911075181891688,0.00719619121562638,0.027800000000000002,0.0309,0.029664680966113906,0.029400000000000003,0.0008199909780493599,0.0413,0.046400000000000004,0.044084805335255946,0.0441,0.000994626827262381,0.0631,0.0661,0.06464168168709442,0.0646,0.0006642473107191456,0.0597,0.0654,0.06315751622206199,0.0631,0.0012933786931429562,0.0567,0.062,0.059421818673395806,0.0597,0.001057032752471743,0.0241,0.0292,0.026411697909156442,0.0263,0.0011848628074376986,0.026500000000000003,0.0313,0.029212454938716645,0.029500000000000002,0.0011901795761437,0.0247,0.027100000000000003,0.02587399062725306,0.025900000000000003,0.0005766170695508556,0.0182,0.0229,0.020434057317952403,0.020200000000000003,0.0011558069338636866,0.0354,0.049800000000000004,0.0418284066330209,0.0419,0.0032206360879838115,0.016800000000000002,0.0213,0.018692790194664737,0.0189,0.0012566341807724263,0.0148,0.020300000000000002,0.017061499639509727,0.0165,0.0014616254144071918
1549978846000,2019-02-12 13:40:46,-0.02018947041466068,-0.0021779462773250987,-0.01118385867943054,-0.01161103047895507,0.005024591120236739,0.0006280420788192117,0.009922637066935783,0.0056811687688305594,0.005859065716547872,0.0023788150263586404,0.6991,0.7693,0.7269755857966828,0.7263000000000001,0.022949202375419756,0.6416000000000001,0.7353000000000001,0.6868708723864453,0.6915,0.020007327739233735,0.6104,0.6995,0.6479825973323718,0.6511,0.020387512434461474,0.5887,0.671,0.6206099945926454,0.6212,0.019195625232361156,0.5994,0.6743,0.6276861842105259,0.6303000000000001,0.018343336856085635,0.5833,0.6565000000000001,0.609930903028118,0.611,0.01822030354020128,0.5869,0.6582,0.6139975847152123,0.6141,0.018121636915292415,0.5724,0.6504,0.6068672945205477,0.6111,0.017752319390716573,0.5767,0.644,0.6032676009372742,0.6046,0.018047952619344335,0.8250000000000001,0.9008,0.8579999639509729,0.8584,0.025117809916447048,0.30010000000000003,0.338,0.31382523431867326,0.3143,0.0094410494744261,0.2611,0.2906,0.2723373738284065,0.2718,0.007814329581684432
1550151047000,2019-02-14 13:30:47,-0.7246835443037974,-0.6666666666666667,-0.6987978049043092,-0.7004680187207487,0.013598118279653465,-0.1175298804780877,-0.08474576271186442,-0.10197628823409574,-0.10195674562306906,0.008350795183592876,0.0256,0.0269,0.026335075702956002,0.0263,0.00042588443387846085,0.032,0.035,0.03354693583273251,0.0337,0.0007154967412467616,0.058100000000000006,0.0606,0.059228839221341,0.0592,0.0004956957592266698,0.052500000000000005,0.056100000000000004,0.054237788392213375,0.054400000000000004,0.0008555938384121308,0.0422,0.0459,0.04420246034607064,0.0443,0.000952639659802337,0.0106,0.0135,0.011879073540014414,0.012,0.0006352099725159421,0.0106,0.0134,0.012164915284787305,0.0122,0.0006643793136823318,0.008700000000000001,0.0106,0.009616663662581104,0.009600000000000001,0.0004538385040465237,0.0051,0.0082,0.006525675919250177,0.0066,0.0007075756251497807,0.0001,0.0016,0.00022454938716654638,0.0001,0.0003855778528549646,0.0044,0.0068000000000000005,0.0054457462148521955,0.0053,0.0006632480374518158,0.004200000000000001,0.0064,0.005346070656092282,0.005200000000000001,0.0005614644663189278
